amr_id,task_id,segment_type,start_time,end_time,start_node,end_node,amr_location_before,amr_location_after,start_x,start_y,start_floor,end_x,end_y,end_floor,status,sim_time_sec,sim_datetime,event_type,payload,from_location,to_location,lift_id,duration_sec,wait_time_sec,distance_m,task_duration_sec,details
AMR-A-1,T1,,2026-01-05 06:00:00,2026-01-05 06:00:00,,,AMR-CENTRE,ADULTIP1-DELIVERYHUB,,,,,,,start,0.0,2026-01-05 06:00:00,task_assigned,food_trolley,KITCHEN,ADULTIP1-DELIVERYHUB,,0.0,0.0,0.0,185.297,Assigned task to AMR-A-1
AMR-A-1,T1,corridor,2026-01-05 06:00:00,2026-01-05 06:00:02,AMR-CENTRE,C2-11,,,157.693,-81.762,2,157.402,-84.491,2,completed,0.0,2026-01-05 06:00:00,segment_corridor,food_trolley,AMR-CENTRE,C2-11,,2.287,0.0,2.744,0.0,"{""type"": ""corridor"", ""from"": ""AMR-CENTRE"", ""to"": ""C2-11"", ""duration"": 2.2870593078837693, ""distance_m"": 2.744471169460523, ""from_x"": 157.693, ""from_y"": -81.762, ""to_x"": 157.402, ""to_y"": -84.491, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-05 06:00:02,2026-01-05 06:00:07,C2-11,C2-10,,,157.402,-84.491,2,151.725,-84.757,2,completed,2.287,2026-01-05 06:00:02,segment_corridor,food_trolley,C2-11,C2-10,,4.736,0.0,5.683,0.0,"{""type"": ""corridor"", ""from"": ""C2-11"", ""to"": ""C2-10"", ""duration"": 4.736023663252627, ""distance_m"": 5.683228395903153, ""from_x"": 157.402, ""from_y"": -84.491, ""to_x"": 151.725, ""to_y"": -84.757, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-05 06:00:07,2026-01-05 06:00:16,C2-10,C2-12,,,151.725,-84.757,2,140.491,-85.343,2,completed,7.023,2026-01-05 06:00:07,segment_corridor,food_trolley,C2-10,C2-12,,9.374,0.0,11.249,0.0,"{""type"": ""corridor"", ""from"": ""C2-10"", ""to"": ""C2-12"", ""duration"": 9.374394498964822, ""distance_m"": 11.249273398757786, ""from_x"": 151.725, ""from_y"": -84.757, ""to_x"": 140.491, ""to_y"": -85.343, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-05 06:00:16,2026-01-05 06:00:18,C2-12,C2-13,,,140.491,-85.343,2,137.466,-85.343,2,completed,16.397,2026-01-05 06:00:16,segment_corridor,food_trolley,C2-12,C2-13,,2.521,0.0,3.025,0.0,"{""type"": ""corridor"", ""from"": ""C2-12"", ""to"": ""C2-13"", ""duration"": 2.5208333333333384, ""distance_m"": 3.0250000000000057, ""from_x"": 140.491, ""from_y"": -85.343, ""to_x"": 137.466, ""to_y"": -85.343, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-05 06:00:18,2026-01-05 06:00:22,C2-13,C2-14,,,137.466,-85.343,2,133.763,-85.18,2,completed,18.918,2026-01-05 06:00:18,segment_corridor,food_trolley,C2-13,C2-14,,3.089,0.0,3.707,0.0,"{""type"": ""corridor"", ""from"": ""C2-13"", ""to"": ""C2-14"", ""duration"": 3.0888214670899274, ""distance_m"": 3.7065857605079127, ""from_x"": 137.466, ""from_y"": -85.343, ""to_x"": 133.763, ""to_y"": -85.18, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-05 06:00:22,2026-01-05 06:00:28,C2-14,C2-8,,,133.763,-85.18,2,133.864,-93.484,2,completed,22.007,2026-01-05 06:00:22,segment_corridor,food_trolley,C2-14,C2-8,,6.921,0.0,8.305,0.0,"{""type"": ""corridor"", ""from"": ""C2-14"", ""to"": ""C2-8"", ""duration"": 6.920511832789367, ""distance_m"": 8.30461419934724, ""from_x"": 133.763, ""from_y"": -85.18, ""to_x"": 133.864, ""to_y"": -93.484, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-05 06:00:28,2026-01-05 06:00:36,C2-8,C2-7,,,133.864,-93.484,2,133.817,-102.025,2,completed,28.928,2026-01-05 06:00:28,segment_corridor,food_trolley,C2-8,C2-7,,7.118,0.0,8.541,0.0,"{""type"": ""corridor"", ""from"": ""C2-8"", ""to"": ""C2-7"", ""duration"": 7.117607763692652, ""distance_m"": 8.541129316431181, ""from_x"": 133.864, ""from_y"": -93.484, ""to_x"": 133.817, ""to_y"": -102.025, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-05 06:00:36,2026-01-05 06:00:55,C2-7,C2-6,,,133.817,-102.025,2,133.869,-125.703,2,completed,36.045,2026-01-05 06:00:36,segment_corridor,food_trolley,C2-7,C2-6,,19.732,0.0,23.678,0.0,"{""type"": ""corridor"", ""from"": ""C2-7"", ""to"": ""C2-6"", ""duration"": 19.731714249456942, ""distance_m"": 23.67805709934833, ""from_x"": 133.817, ""from_y"": -102.025, ""to_x"": 133.869, ""to_y"": -125.703, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-05 06:00:55,2026-01-05 06:01:15,C2-6,C2-5,,,133.869,-125.703,2,134.284,-149.468,2,completed,55.777,2026-01-05 06:00:55,segment_corridor,food_trolley,C2-6,C2-5,,19.807,0.0,23.769,0.0,"{""type"": ""corridor"", ""from"": ""C2-6"", ""to"": ""C2-5"", ""duration"": 19.807186020622797, ""distance_m"": 23.768623224747355, ""from_x"": 133.869, ""from_y"": -125.703, ""to_x"": 134.284, ""to_y"": -149.468, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-05 06:01:15,2026-01-05 06:01:19,C2-5,C2-4,,,134.284,-149.468,2,138.449,-149.882,2,completed,75.584,2026-01-05 06:01:15,segment_corridor,food_trolley,C2-5,C2-4,,3.488,0.0,4.186,0.0,"{""type"": ""corridor"", ""from"": ""C2-5"", ""to"": ""C2-4"", ""duration"": 3.48793764677322, ""distance_m"": 4.185525176127864, ""from_x"": 134.284, ""from_y"": -149.468, ""to_x"": 138.449, ""to_y"": -149.882, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-05 06:01:19,2026-01-05 06:01:22,C2-4,C2-3,,,138.449,-149.882,2,142.469,-149.736,2,completed,79.072,2026-01-05 06:01:19,segment_corridor,food_trolley,C2-4,C2-3,,3.352,0.0,4.023,0.0,"{""type"": ""corridor"", ""from"": ""C2-4"", ""to"": ""C2-3"", ""duration"": 3.3522086417431836, ""distance_m"": 4.02265037009182, ""from_x"": 138.449, ""from_y"": -149.882, ""to_x"": 142.469, ""to_y"": -149.736, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-05 06:01:22,2026-01-05 06:01:31,C2-3,C2-2,,,142.469,-149.736,2,142.153,-138.602,2,completed,82.424,2026-01-05 06:01:22,segment_corridor,food_trolley,C2-3,C2-2,,9.282,0.0,11.138,0.0,"{""type"": ""corridor"", ""from"": ""C2-3"", ""to"": ""C2-2"", ""duration"": 9.282069483088815, ""distance_m"": 11.138483379706578, ""from_x"": 142.469, ""from_y"": -149.736, ""to_x"": 142.153, ""to_y"": -138.602, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-05 06:01:31,2026-01-05 06:01:34,C2-2,C2-1,,,142.153,-138.602,2,142.153,-135.436,2,completed,91.706,2026-01-05 06:01:31,segment_corridor,food_trolley,C2-2,C2-1,,2.638,0.0,3.166,0.0,"{""type"": ""corridor"", ""from"": ""C2-2"", ""to"": ""C2-1"", ""duration"": 2.638333333333331, ""distance_m"": 3.165999999999997, ""from_x"": 142.153, ""from_y"": -138.602, ""to_x"": 142.153, ""to_y"": -135.436, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-05 06:01:34,2026-01-05 06:01:37,C2-1,KITCHEN,,,142.153,-135.436,2,142.071,-131.132,2,completed,94.345,2026-01-05 06:01:34,segment_corridor,food_trolley,C2-1,KITCHEN,,3.587,0.0,4.305,0.0,"{""type"": ""corridor"", ""from"": ""C2-1"", ""to"": ""KITCHEN"", ""duration"": 3.587317552464827, ""distance_m"": 4.304781062957792, ""from_x"": 142.153, ""from_y"": -135.436, ""to_x"": 142.071, ""to_y"": -131.132, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,pickup,2026-01-05 06:01:37,2026-01-05 06:01:57,,,,,,,,,,,completed,97.932,2026-01-05 06:01:37,segment_pickup,food_trolley,KITCHEN,ADULTIP1-DELIVERYHUB,,20.0,0.0,0.0,0.0,"{""type"": ""pickup"", ""location"": ""KITCHEN"", ""duration"": 20.0, ""from_x"": null, ""from_y"": null, ""to_x"": null, ""to_y"": null, ""from_floor"": null, ""to_floor"": null}"
AMR-A-1,T1,corridor,2026-01-05 06:01:57,2026-01-05 06:02:01,KITCHEN,C2-1,,,142.071,-131.132,2,142.153,-135.436,2,completed,117.932,2026-01-05 06:01:57,segment_corridor,food_trolley,KITCHEN,C2-1,,3.587,0.0,4.305,0.0,"{""type"": ""corridor"", ""from"": ""KITCHEN"", ""to"": ""C2-1"", ""duration"": 3.587317552464827, ""distance_m"": 4.304781062957792, ""from_x"": 142.071, ""from_y"": -131.132, ""to_x"": 142.153, ""to_y"": -135.436, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-05 06:02:01,2026-01-05 06:02:04,C2-1,Lift-5-F2,,,142.153,-135.436,2,138.393,-135.355,2,completed,121.519,2026-01-05 06:02:01,segment_corridor,food_trolley,C2-1,Lift-5-F2,,3.134,0.0,3.761,0.0,"{""type"": ""corridor"", ""from"": ""C2-1"", ""to"": ""Lift-5-F2"", ""duration"": 3.1340603101691795, ""distance_m"": 3.760872372203015, ""from_x"": 142.153, ""from_y"": -135.436, ""to_x"": 138.393, ""to_y"": -135.355, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,lift_transfer,2026-01-05 06:02:04,2026-01-05 06:02:33,Lift-5-F2,Lift-5-F3,,,138.393,-135.355,2,138.393,-135.355,3,completed,124.653,2026-01-05 06:02:04,segment_lift_transfer,food_trolley,Lift-5-F2,Lift-5-F3,Lift-5,28.889,0.0,4.0,0.0,"{""type"": ""lift_transfer"", ""lift_id"": ""Lift-5"", ""from"": ""Lift-5-F2"", ""to"": ""Lift-5-F3"", ""from_floor"": 2, ""to_floor"": 3, ""wait_time"": 0.0, ""duration"": 28.888888888888886, ""distance_m"": 4.0, ""vertical_distance_m"": 4.0, ""from_x"": 138.393, ""from_y"": -135.355, ""to_x"": 138.393, ""to_y"": -135.355}"
AMR-A-1,T1,corridor,2026-01-05 06:02:33,2026-01-05 06:02:36,Lift-5-F3,C3-1,,,138.393,-135.355,3,142.199,-136.453,3,completed,153.542,2026-01-05 06:02:33,segment_corridor,food_trolley,Lift-5-F3,C3-1,,3.301,0.0,3.961,0.0,"{""type"": ""corridor"", ""from"": ""Lift-5-F3"", ""to"": ""C3-1"", ""duration"": 3.3010141539297475, ""distance_m"": 3.961216984715697, ""from_x"": 138.393, ""from_y"": -135.355, ""to_x"": 142.199, ""to_y"": -136.453, ""from_floor"": 3, ""to_floor"": 3}"
AMR-A-1,T1,corridor,2026-01-05 06:02:36,2026-01-05 06:02:43,C3-1,C3-7,,,142.199,-136.453,3,142.339,-144.143,3,completed,156.843,2026-01-05 06:02:36,segment_corridor,food_trolley,C3-1,C3-7,,6.409,0.0,7.691,0.0,"{""type"": ""corridor"", ""from"": ""C3-1"", ""to"": ""C3-7"", ""duration"": 6.409395230614367, ""distance_m"": 7.69127427673724, ""from_x"": 142.199, ""from_y"": -136.453, ""to_x"": 142.339, ""to_y"": -144.143, ""from_floor"": 3, ""to_floor"": 3}"
AMR-A-1,T1,corridor,2026-01-05 06:02:43,2026-01-05 06:02:45,C3-7,ADULTIP1-DELIVERYHUB,,,142.339,-144.143,3,144.791,-144.233,3,completed,163.253,2026-01-05 06:02:43,segment_corridor,food_trolley,C3-7,ADULTIP1-DELIVERYHUB,,2.045,0.0,2.454,0.0,"{""type"": ""corridor"", ""from"": ""C3-7"", ""to"": ""ADULTIP1-DELIVERYHUB"", ""duration"": 2.04470929745798, ""distance_m"": 2.453651156949576, ""from_x"": 142.339, ""from_y"": -144.143, ""to_x"": 144.791, ""to_y"": -144.233, ""from_floor"": 3, ""to_floor"": 3}"
AMR-A-1,T1,dropoff,2026-01-05 06:02:45,2026-01-05 06:03:05,,,,,,,,,,,completed,165.297,2026-01-05 06:02:45,segment_dropoff,food_trolley,KITCHEN,ADULTIP1-DELIVERYHUB,,20.0,0.0,0.0,0.0,"{""type"": ""dropoff"", ""location"": ""ADULTIP1-DELIVERYHUB"", ""duration"": 20.0, ""from_x"": null, ""from_y"": null, ""to_x"": null, ""to_y"": null, ""from_floor"": null, ""to_floor"": null}"
AMR-A-2,T2,,2026-01-05 06:00:00,2026-01-05 06:00:00,,,AMR-CENTRE,ADULTIP2-DELIVERYHUB,,,,,,,start,0.0,2026-01-05 06:00:00,task_assigned,food_trolley,KITCHEN,ADULTIP2-DELIVERYHUB,,0.0,0.0,0.0,261.16,Assigned task to AMR-A-2
AMR-A-2,T2,corridor,2026-01-05 06:00:00,2026-01-05 06:00:02,AMR-CENTRE,C2-11,,,157.693,-81.762,2,157.402,-84.491,2,completed,0.0,2026-01-05 06:00:00,segment_corridor,food_trolley,AMR-CENTRE,C2-11,,2.287,0.0,2.744,0.0,"{""type"": ""corridor"", ""from"": ""AMR-CENTRE"", ""to"": ""C2-11"", ""duration"": 2.2870593078837693, ""distance_m"": 2.744471169460523, ""from_x"": 157.693, ""from_y"": -81.762, ""to_x"": 157.402, ""to_y"": -84.491, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-2,T2,corridor,2026-01-05 06:00:02,2026-01-05 06:00:07,C2-11,C2-10,,,157.402,-84.491,2,151.725,-84.757,2,completed,2.287,2026-01-05 06:00:02,segment_corridor,food_trolley,C2-11,C2-10,,4.736,0.0,5.683,0.0,"{""type"": ""corridor"", ""from"": ""C2-11"", ""to"": ""C2-10"", ""duration"": 4.736023663252627, ""distance_m"": 5.683228395903153, ""from_x"": 157.402, ""from_y"": -84.491, ""to_x"": 151.725, ""to_y"": -84.757, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-2,T2,corridor,2026-01-05 06:00:07,2026-01-05 06:00:16,C2-10,C2-12,,,151.725,-84.757,2,140.491,-85.343,2,completed,7.023,2026-01-05 06:00:07,segment_corridor,food_trolley,C2-10,C2-12,,9.374,0.0,11.249,0.0,"{""type"": ""corridor"", ""from"": ""C2-10"", ""to"": ""C2-12"", ""duration"": 9.374394498964822, ""distance_m"": 11.249273398757786, ""from_x"": 151.725, ""from_y"": -84.757, ""to_x"": 140.491, ""to_y"": -85.343, ""from_floor"": 2, ""to_floor"": 2}"
